Name,Weight,CumulativeWeight
Hilario,0.005,88.869,950
Bud,0.005,88.874,951
Sal,0.005,88.880,952
Rosario,0.005,88.885,953
Orval,0.005,88.891,954
Mauro,0.005,88.896,955
Dannie,0.005,88.901,956
Zachariah,0.005,88.907,957
Olen,0.005,88.912,958
Anibal,0.005,88.917,959
Milo,0.005,88.923,960
Jed,0.005,88.928,961
Frances,0.005,88.933,962
Thanh,0.005,88.939,963
Dillon,0.005,88.944,964
Amado,0.005,88.949,965
Newton,0.005,88.955,966
Connie,0.005,88.960,967
Lenny,0.005,88.965,968
Tory,0.005,88.970,969
Richie,0.005,88.975,970
Lupe,0.005,88.981,971
Horacio,0.005,88.986,972
Brice,0.005,88.991,973
Mohamed,0.005,88.996,974
Delmer,0.005,89.001,975
Dario,0.005,89.006,976
Reyes,0.005,89.012,977
Dee,0.005,89.017,978
Mac,0.005,89.022,979
Jonah,0.005,89.027,980
Jerrold,0.005,89.032,981
Robt,0.005,89.037,982
Hank,0.005,89.042,983
Sung,0.005,89.047,984
Rupert,0.005,89.052,985
Rolland,0.005,89.057,986
Kenton,0.005,89.062,987
Damion,0.005,89.067,988
Chi,0.005,89.072,989
Antone,0.005,89.077,990
Waldo,0.005,89.082,991
Fredric,0.005,89.087,992
Bradly,0.005,89.092,993
Quinn,0.005,89.097,994
Kip,0.005,89.102,995
Burl,0.005,89.107,996
Walker,0.005,89.112,997
Tyree,0.005,89.117,998
Jefferey,0.005,89.122,999
Ahmed,0.005,89.127,1000
Willy,0.005,89.132,1001
Stanford,0.005,89.137,1002
Oren,0.005,89.142,1003
Noble,0.005,89.146,1004
Moshe,0.005,89.151,1005
Mikel,0.005,89.156,1006
Enoch,0.005,89.161,1007
Brendon,0.005,89.166,1008
Quintin,0.005,89.171,1009
Jamison,0.005,89.176,1010
Florencio,0.005,89.181,1011
Darrick,0.005,89.185,1012
Tobias,0.005,89.190,1013
Minh,0.005,89.195,1014
Hassan,0.005,89.200,1015
Giuseppe,0.005,89.205,1016
Demarcus,0.005,89.210,1017
Cletus,0.005,89.214,1018
Tyrell,0.005,89.219,1019
Lyndon,0.005,89.224,1020
Keenan,0.005,89.229,1021
Werner,0.005,89.234,1022
Theo,0.005,89.238,1023
Geraldo,0.005,89.243,1024
Lou,0.005,89.248,1025
Columbus,0.005,89.253,1026
Chet,0.005,89.257,1027
Bertram,0.005,89.262,1028
Markus,0.005,89.267,1029
Huey,0.005,89.271,1030
Hilton,0.005,89.276,1031
Dwain,0.005,89.281,1032
Donte,0.005,89.285,1033
Tyron,0.005,89.290,1034
Omer,0.005,89.295,1035
Isaias,0.005,89.299,1036
Hipolito,0.005,89.304,1037
Fermin,0.005,89.309,1038
Chung,0.005,89.313,1039
Adalberto,0.005,89.318,1040
Valentine,0.005,89.323,1041
Jamey,0.005,89.327,1042
Bo,0.005,89.332,1043
Barrett,0.005,89.336,1044
Whitney,0.005,89.341,1045
Teodoro,0.005,89.345,1046
Mckinley,0.005,89.350,1047
Maximo,0.005,89.355,1048
Garfield,0.005,89.359,1049
Sol,0.005,89.364,1050
Raleigh,0.005,89.368,1051
Lawerence,0.005,89.373,1052
Abram,0.005,89.377,1053
Rashad,0.004,89.382,1054
King,0.004,89.386,1055
Emmitt,0.004,89.391,1056
Daron,0.004,89.395,1057
Chong,0.004,89.400,1058
Samual,0.004,89.404,1059
Paris,0.004,89.409,1060
Otha,0.004,89.413,1061
Miquel,0.004,89.418,1062
Lacy,0.004,89.422,1063
Eusebio,0.004,89.426,1064
Dong,0.004,89.431,1065
Domenic,0.004,89.435,1066
Darron,0.004,89.440,1067
Buster,0.004,89.444,1068
Antonia,0.004,89.449,1069
Wilber,0.004,89.453,1070
Renato,0.004,89.458,1071
Jc,0.004,89.462,1072
Hoyt,0.004,89.466,1073
Haywood,0.004,89.471,1074
Ezekiel,0.004,89.475,1075
Chas,0.004,89.480,1076
Florentino,0.004,89.484,1077
Elroy,0.004,89.489,1078
Clemente,0.004,89.493,1079
Arden,0.004,89.497,1080
Neville,0.004,89.502,1081
Kelley,0.004,89.506,1082
Edison,0.004,89.510,1083
Deshawn,0.004,89.515,1084
Carrol,0.004,89.519,1085
Shayne,0.004,89.523,1086
Nathanial,0.004,89.528,1087
Jordon,0.004,89.532,1088
Danilo,0.004,89.536,1089
Claud,0.004,89.541,1090
Val,0.004,89.545,1091
Sherwood,0.004,89.549,1092
Raymon,0.004,89.554,1093
Rayford,0.004,89.558,1094
Cristobal,0.004,89.562,1095
Ambrose,0.004,89.567,1096
Titus,0.004,89.571,1097
Hyman,0.004,89.575,1098
Felton,0.004,89.579,1099
Ezequiel,0.004,89.584,1100
Erasmo,0.004,89.588,1101
Stanton,0.004,89.592,1102
Lonny,0.004,89.596,1103
Len,0.004,89.601,1104
Ike,0.004,89.605,1105
Milan,0.004,89.609,1106
Lino,0.004,89.613,1107
Jarod,0.004,89.617,1108
Herb,0.004,89.622,1109
Andreas,0.004,89.626,1110
Walton,0.004,89.630,1111
Rhett,0.004,89.634,1112
Palmer,0.004,89.638,1113
Jude,0.004,89.642,1114
Douglass,0.004,89.647,1115
Cordell,0.004,89.651,1116
Oswaldo,0.004,89.655,1117
Ellsworth,0.004,89.659,1118
Virgilio,0.004,89.663,1119
Toney,0.004,89.667,1120
Nathanael,0.004,89.671,1121
Del,0.004,89.675,1122
Britt,0.004,89.679,1123
Benedict,0.004,89.684,1124
Mose,0.004,89.688,1125
Hong,0.004,89.692,1126
Leigh,0.004,89.696,1127
Johnson,0.004,89.700,1128
Isreal,0.004,89.704,1129
Gayle,0.004,89.708,1130
Garret,0.004,89.712,1131
Fausto,0.004,89.716,1132
Asa,0.004,89.720,1133
Arlen,0.004,89.724,1134
Zack,0.004,89.728,1135
Warner,0.004,89.732,1136
Modesto,0.004,89.736,1137
Francesco,0.004,89.740,1138
Manual,0.004,89.744,1139
Jae,0.004,89.748,1140
Gaylord,0.004,89.752,1141
Gaston,0.004,89.756,1142
Filiberto,0.004,89.759,1143
Deangelo,0.004,89.763,1144
Michale,0.004,89.767,1145
Granville,0.004,89.771,1146
Wes,0.004,89.775,1147
Malik,0.004,89.779,1148
Zackary,0.004,89.783,1149
Tuan,0.004,89.787,1150
Nicky,0.004,89.790,1151
Eldridge,0.004,89.794,1152
Cristopher,0.004,89.798,1153
Cortez,0.004,89.802,1154
Antione,0.004,89.806,1155
Malcom,0.004,89.809,1156
Long,0.004,89.813,1157
Korey,0.004,89.817,1158
Jospeh,0.004,89.821,1159
Colton,0.004,89.825,1160
Waylon,0.004,89.828,1161
Von,0.004,89.832,1162
Hosea,0.004,89.836,1163
Shad,0.004,89.840,1164
Santo,0.004,89.843,1165
Rudolf,0.004,89.847,1166
Rolf,0.004,89.851,1167
Rey,0.004,89.855,1168
Renaldo,0.004,89.858,1169
Marcellus,0.004,89.862,1170
Lucius,0.004,89.866,1171
Lesley,0.004,89.870,1172
Kristofer,0.004,89.873,1173
Boyce,0.004,89.877,1174
Benton,0.004,89.881,1175
Man,0.004,89.884,1176
Kasey,0.004,89.888,1177
Jewell,0.004,89.892,1178
Hayden,0.004,89.895,1179
Harland,0.004,89.899,1180
Arnoldo,0.004,89.903,1181
Rueben,0.004,89.907,1182
Leandro,0.004,89.910,1183
Kraig,0.004,89.914,1184
Jerrell,0.004,89.918,1185
Jeromy,0.004,89.921,1186
Hobert,0.004,89.925,1187
Cedrick,0.004,89.929,1188
Arlie,0.004,89.932,1189
Winford,0.004,89.936,1190
Wally,0.004,89.939,1191
Patricia,0.004,89.943,1192
Luigi,0.004,89.947,1193
Keneth,0.004,89.950,1194
Jacinto,0.004,89.954,1195
Graig,0.004,89.958,1196
Franklyn,0.004,89.961,1197
Edmundo,0.004,89.965,1198
Sid,0.004,89.968,1199
Porter,0.004,89.972,1200
Leif,0.004,89.976,1201
Lauren,0.004,89.979,1202
Jeramy,0.004,89.983,1203
Elisha,0.004,89.986,1204
Buck,0.004,89.990,1205
Willian,0.004,89.994,1206
Vincenzo,0.004,89.997,1207
Shon,0.004,90.001,1208
Michal,0.004,90.004,1209
Lynwood,0.004,90.008,1210
Lindsay,0.004,90.011,1211
Jewel,0.004,90.015,1212
Jere,0.004,90.018,1213
Hai,0.004,90.022,1214
Elden,0.004,90.026,1215
Dorsey,0.004,90.029,1216
Darell,0.004,90.033,1217
Broderick,0.004,90.036,1218
Alonso,0.004,90.040,1219
