USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
IL,1773495,02395997,Sullivan city,25,A,7104838,10770,2.743,0.004,39.595656,-88.608809
IL,1773547,02399929,Summerfield village,47,A,1282773,0,0.495,0.000,38.595526,-89.749600
IL,1773638,02399930,Summit village,47,A,5487597,357949,2.119,0.138,41.788452,-87.813921
IL,1773703,02396003,Sumner city,25,A,3554160,0,1.372,0.000,38.715486,-87.866656
IL,1773943,02399933,Sun River Terrace village,47,A,1464255,3829,0.565,0.001,41.123408,-87.733303
IL,1774119,02399939,Swansea village,47,A,16611037,398160,6.414,0.154,38.551780,-89.987507
IL,1774223,02396018,Sycamore city,25,A,25037520,99272,9.667,0.038,41.996703,-88.677540
IL,1774275,02399944,Symerton village,47,A,118136,0,0.046,0.000,41.328004,-88.054042
IL,1774301,02399946,Table Grove village,47,A,729617,0,0.282,0.000,40.365034,-90.425239
IL,1774379,02399948,Tallula village,47,A,1375908,0,0.531,0.000,39.945725,-89.936610
IL,1774444,02399950,Tamaroa village,47,A,2480233,0,0.958,0.000,38.136342,-89.229266
IL,1774457,02399951,Tamms village,47,A,6038702,0,2.332,0.000,37.241541,-89.271329
IL,1774470,02399952,Tampico village,47,A,1004046,0,0.388,0.000,41.630664,-89.785410
IL,1774561,02399958,Taylor Springs village,47,A,2601517,86121,1.004,0.033,39.130764,-89.495067
IL,1774574,02396035,Taylorville city,25,A,26725641,4947508,10.319,1.910,39.562729,-89.308259
IL,1774665,02399960,Tennessee village,47,A,1120135,0,0.432,0.000,40.411218,-90.836061
IL,1774743,02399962,Teutopolis village,47,A,4379114,0,1.691,0.000,39.131426,-88.481944
IL,1774847,02399963,Thawville village,47,A,850190,0,0.328,0.000,40.673447,-88.113289
IL,1774860,02399964,Thayer village,47,A,1568273,0,0.606,0.000,39.540366,-89.757927
IL,1774873,02399967,Thebes village,47,A,4520441,1469824,1.745,0.568,37.212416,-89.450657
IL,1774970,02583443,The Galena Territory CDP,57,S,29396591,891450,11.350,0.344,42.393730,-90.324986
IL,1775081,02399970,Third Lake village,47,A,1475613,673190,0.570,0.260,42.369763,-88.009092
IL,1775107,02399971,Thomasboro village,47,A,2545417,0,0.983,0.000,40.243791,-88.187629
IL,1775159,02399972,Thompsonville village,47,A,5259741,41481,2.031,0.016,37.911304,-88.765018
IL,1775172,02399974,Thomson village,47,A,6200332,0,2.394,0.000,41.972720,-90.111762
IL,1775185,02399975,Thornton village,47,A,6150153,67750,2.375,0.026,41.574149,-87.619300
IL,1775263,02399981,Tilden village,47,A,2523295,27395,0.974,0.011,38.212024,-89.683675
IL,1775276,02399982,Tilton village,47,A,8305092,84431,3.207,0.033,40.094736,-87.639042
IL,1775360,02399984,Timberlane village,47,A,4549274,48387,1.756,0.019,42.335731,-88.866064
IL,1775419,02399985,Time village,47,A,1134198,0,0.438,0.000,39.561128,-90.723366
IL,1775484,02399987,Tinley Park village,47,A,41743331,30829,16.117,0.012,41.568579,-87.804217
IL,1775549,02399989,Tiskilwa village,47,A,1179432,0,0.455,0.000,41.292680,-89.508439
IL,1775601,02399991,Toledo village,47,A,2361816,0,0.912,0.000,39.272387,-88.241628
IL,1775614,02399992,Tolono village,47,A,5325020,0,2.056,0.000,39.991150,-88.262480
IL,1775653,02397034,Toluca city,25,A,2750821,0,1.062,0.000,41.004431,-89.133879
IL,1775718,02399993,Tonica village,47,A,3531044,0,1.363,0.000,41.215870,-89.069956
IL,1775757,02399995,Topeka village,47,A,354345,0,0.137,0.000,40.330362,-89.930612
IL,1775783,02397040,Toulon city,25,A,2632974,0,1.017,0.000,41.093372,-89.863178
IL,1775809,02399996,Tovey village,47,A,580018,0,0.224,0.000,39.588244,-89.448566
IL,1775822,02399997,Towanda village,47,A,1941692,0,0.750,0.000,40.563308,-88.900781
IL,1775848,02399998,Tower Hill village,47,A,2603133,0,1.005,0.000,39.386774,-88.959249
IL,1775874,02399999,Tower Lakes village,47,A,2352473,322475,0.908,0.125,42.227844,-88.155240
IL,1775965,02400000,Tremont village,47,A,2444133,0,0.944,0.000,40.524851,-89.490607
IL,1775991,02397049,Trenton city,25,A,3409361,0,1.316,0.000,38.607027,-89.680512
IL,1776160,02400004,Trout Valley village,47,A,1115997,4579,0.431,0.002,42.196029,-88.251203
IL,1776199,02397061,Troy city,25,A,13702767,147670,5.291,0.057,38.730519,-89.891706
IL,1776225,02400005,Troy Grove village,47,A,1778899,0,0.687,0.000,41.465701,-89.081542
IL,1776407,02397071,Tuscola city,25,A,7101454,17643,2.742,0.007,39.798248,-88.275285
IL,1776511,02628561,Twin Grove CDP,57,S,10283790,6539,3.971,0.003,40.479323,-89.101516
IL,1776615,02400016,Ullin village,47,A,7279683,135893,2.811,0.052,37.280226,-89.175797
IL,1776706,02400020,Union village,47,A,2145278,0,0.828,0.000,42.231429,-88.544689
IL,1776771,02400024,Union Hill village,47,A,116576,0,0.045,0.000,41.108429,-88.146178
IL,1776935,02400029,University Park village,47,A,27902905,5723,10.773,0.002,41.443818,-87.710988
IL,1777005,02397097,Urbana city,25,A,30633802,104198,11.828,0.040,40.110126,-88.197323
IL,1777044,02400033,Ursa village,47,A,1804017,0,0.697,0.000,40.074157,-91.372758
IL,1777148,02400037,Valier village,47,A,2910806,20233,1.124,0.008,38.017971,-89.043689
IL,1777187,02400038,Valley City village,47,A,510705,31955,0.197,0.012,39.707210,-90.649398
IL,1777265,02400041,Valmeyer village,47,A,8835452,143251,3.411,0.055,38.305917,-90.298337
IL,1777317,02397119,Vandalia city,25,A,21106804,40746,8.149,0.016,38.974564,-89.110695
IL,1777395,02400049,Varna village,47,A,768557,0,0.297,0.000,41.035246,-89.224316
IL,1777408,02400053,Venedy village,47,A,740181,0,0.286,0.000,38.396611,-89.645810
IL,1777460,02393831,Venetian Village CDP,57,S,4569028,1579412,1.764,0.610,42.405044,-88.050163
IL,1777473,02397123,Venice city,25,A,4711918,4874,1.819,0.002,38.671997,-90.169316
IL,1777525,02400057,Vergennes village,47,A,911357,4044,0.352,0.002,37.901933,-89.340158
IL,1777551,02400058,Vermilion village,47,A,1971902,0,0.761,0.000,39.580029,-87.587742
IL,1777642,02400059,Vermont village,47,A,3258700,0,1.258,0.000,40.295715,-90.429018
IL,1777681,02400061,Vernon village,47,A,2362811,0,0.912,0.000,38.801401,-89.089586
IL,1777694,02400063,Vernon Hills village,47,A,19954517,538228,7.704,0.208,42.234407,-87.961064
IL,1777707,02400065,Verona village,47,A,415852,0,0.161,0.000,41.215682,-88.504904
IL,1777720,02400067,Versailles village,47,A,2417212,13746,0.933,0.005,39.883850,-90.658982
IL,1777811,02400069,Victoria village,47,A,1713175,0,0.661,0.000,41.033314,-90.095227
IL,1777863,02397137,Vienna city,25,A,7346918,95113,2.837,0.037,37.413624,-88.886577
IL,1777941,02397140,Villa Grove city,25,A,3884911,17039,1.500,0.007,39.864477,-88.159729
IL,1777993,02400070,Villa Park village,47,A,12206597,127073,4.713,0.049,41.885612,-87.978235
IL,1778123,02400073,Viola village,47,A,2170069,39358,0.838,0.015,41.205323,-90.586188
IL,1778149,02397150,Virden city,25,A,4849292,0,1.872,0.000,39.505878,-89.771130
IL,1778175,02400074,Virgil village,47,A,5454656,0,2.106,0.000,41.955531,-88.529216
IL,1778201,02397152,Virginia city,25,A,3049447,146886,1.177,0.057,39.952159,-90.211084
IL,1778227,02400077,Volo village,47,A,10348142,203192,3.995,0.078,42.330457,-88.153114
IL,1778370,02400079,Wadsworth village,47,A,25033880,235415,9.666,0.091,42.450806,-87.925214
IL,1778383,02400080,Waggoner village,47,A,682085,0,0.263,0.000,39.377612,-89.652750
IL,1778526,02400087,Walnut village,47,A,2136961,0,0.825,0.000,41.556992,-89.590753
IL,1778604,02400088,Walnut Hill village,47,A,959745,536,0.371,0.000,38.477947,-89.044393
IL,1778656,02400089,Walshville village,47,A,657116,0,0.254,0.000,39.068974,-89.618933
IL,1778708,02400091,Waltonville village,47,A,3051117,54956,1.178,0.021,38.218380,-89.034997
IL,1778721,02397187,Wamac city,25,A,3638798,53979,1.405,0.021,38.491366,-89.147753
IL,1778773,02400092,Wapella village,47,A,1368500,0,0.528,0.000,40.221570,-88.961196
IL,1778851,02400094,Warren village,47,A,2674381,0,1.033,0.000,42.494827,-89.991229
IL,1778916,02400095,Warrensburg village,47,A,1785032,0,0.689,0.000,39.931762,-89.061867
IL,1778929,02397197,Warrenville city,25,A,14048476,398921,5.424,0.154,41.820951,-88.187497
IL,1778942,02397200,Warsaw city,25,A,16885785,2456665,6.520,0.949,40.351045,-91.428019
IL,1779007,02400097,Washburn village,47,A,1863838,0,0.720,0.000,40.920314,-89.291755
IL,1779033,02397206,Washington city,25,A,20776779,34035,8.022,0.013,40.701734,-89.436739
IL,1779085,02400099,Washington Park village,47,A,6527346,0,2.520,0.000,38.628433,-90.092751
IL,1779124,02400101,Wataga village,47,A,2147833,0,0.829,0.000,41.025231,-90.275433
IL,1779150,02397210,Waterloo city,25,A,21056089,363839,8.130,0.140,38.341214,-90.152716
IL,1779163,02400104,Waterman village,47,A,3749627,35,1.448,0.000,41.765591,-88.763066
IL,1779228,02397217,Watseka city,25,A,7973329,0,3.079,0.000,40.774800,-87.729269
IL,1779241,02400106,Watson village,47,A,2897082,0,1.119,0.000,39.026113,-88.568299
IL,1779267,02400108,Wauconda village,47,A,13201449,1768227,5.097,0.683,42.277005,-88.135272
IL,1779293,02397222,Waukegan city,25,A,62648068,575656,24.189,0.222,42.369447,-87.870898
IL,1779358,02397225,Waverly city,25,A,2675470,0,1.033,0.000,39.592574,-89.952335
IL,1779397,02400112,Wayne village,47,A,14886845,227003,5.748,0.088,41.947255,-88.253231
IL,1779436,02400113,Wayne City village,47,A,4437600,0,1.713,0.000,38.348061,-88.589420
IL,1779449,02400118,Waynesville village,47,A,836905,0,0.323,0.000,40.241170,-89.124560
IL,1779683,02400120,Weldon village,47,A,700838,0,0.271,0.000,40.121492,-88.749662
IL,1779735,02400123,Wellington village,47,A,711333,0,0.275,0.000,40.540380,-87.679616
IL,1779813,02397256,Wenona city,25,A,1909864,0,0.737,0.000,41.048600,-89.052247
IL,1779826,02400124,Wenonah village,47,A,3916104,0,1.512,0.000,39.319996,-89.287934
IL,1780008,02400127,West Brooklyn village,47,A,276539,0,0.107,0.000,41.692802,-89.147305
IL,1780047,02400148,Westchester village,47,A,9546307,0,3.686,0.000,41.849196,-87.890619
IL,1780060,02397264,West Chicago city,25,A,39246746,877228,15.153,0.339,41.894469,-88.221121
IL,1780073,02400128,West City village,47,A,4164535,44163,1.608,0.017,37.996016,-88.948894
IL,1780125,02400129,West Dundee village,47,A,9647504,262515,3.725,0.101,42.111055,-88.344732
IL,1780242,02400150,Western Springs village,47,A,7223000,0,2.789,0.000,41.802254,-87.900551
IL,1780255,02628563,Westervelt CDP,57,S,221645,0,0.086,0.000,39.479058,-88.861198
IL,1780281,02400151,Westfield village,47,A,2593836,0,1.001,0.000,39.455395,-87.996652
IL,1780333,02397267,West Frankfort city,25,A,12883272,106923,4.974,0.041,37.899495,-88.930814
IL,1780645,02400153,Westmont village,47,A,12946275,271036,4.999,0.105,41.794371,-87.972860
IL,1780736,02397272,West Peoria city,25,A,4997660,0,1.930,0.000,40.697235,-89.639408
IL,1780762,02400141,West Point village,47,A,434820,0,0.168,0.000,40.255576,-91.183307
IL,1780853,02400144,West Salem village,47,A,4063177,518,1.569,0.000,38.520096,-88.009300
IL,1780879,02628562,West Union CDP,57,S,4101219,0,1.583,0.000,39.215005,-87.665728
IL,1780931,02400157,Westville village,47,A,4340869,0,1.676,0.000,40.044020,-87.638914
IL,1780957,02583444,West York CDP,57,S,343786,0,0.133,0.000,39.168841,-87.673040
IL,1781048,02397294,Wheaton city,25,A,29257793,477162,11.296,0.184,41.856134,-88.107453
IL,1781074,02400160,Wheeler village,47,A,1491339,0,0.576,0.000,39.043042,-88.318765
IL,1781087,02400161,Wheeling village,47,A,22454552,150683,8.670,0.058,42.129614,-87.921503
IL,1781165,02771129,Whiteash CDP,57,S,2267325,65870,0.875,0.025,37.783843,-88.930823
IL,1781191,02400162,White City village,47,A,3139767,10210,1.212,0.004,39.070641,-89.769652
IL,1781256,02397302,White Hall city,25,A,6673873,148826,2.577,0.057,39.438554,-90.401075
IL,1781295,02628564,White Heath CDP,57,S,884168,0,0.341,0.000,40.086811,-88.511649
IL,1781802,02399695,Williamsfield village,47,A,3289745,0,1.270,0.000,40.926608,-90.018177
IL,1781815,02399696,Williamson village,47,A,3901536,117897,1.506,0.046,38.987515,-89.763980
IL,1781854,02399698,Williamsville village,47,A,3265220,0,1.261,0.000,39.951735,-89.550695
IL,1781867,02399699,Willisville village,47,A,1011165,0,0.390,0.000,37.982801,-89.589799
IL,1781919,02399702,Willowbrook village,47,A,6967953,142513,2.690,0.055,41.761902,-87.945905
IL,1781938,02393860,Willowbrook CDP,57,S,8637584,41009,3.335,0.016,41.453531,-87.538239
IL,1782010,02399700,Willow Hill village,47,A,2691404,0,1.039,0.000,38.995838,-88.021817
IL,1782049,02399701,Willow Springs village,47,A,10612058,271975,4.097,0.105,41.734994,-87.884346
IL,1782075,02399704,Wilmette village,47,A,13994252,23599,5.403,0.009,42.077323,-87.728621
IL,1782088,02399705,Wilmington village,47,A,2036786,0,0.786,0.000,39.480683,-90.486766
IL,1782101,02397328,Wilmington city,25,A,24245506,1684001,9.361,0.650,41.317061,-88.143592
IL,1782218,02399709,Wilsonville village,47,A,2474762,66754,0.956,0.026,39.068983,-89.855065
IL,1782270,02397336,Winchester city,25,A,2923185,0,1.129,0.000,39.629778,-90.455964
IL,1782309,02399713,Windsor village,47,A,1133795,0,0.438,0.000,41.201822,-90.444360
IL,1782322,02397341,Windsor city,25,A,1631811,0,0.630,0.000,39.438900,-88.595389
IL,1782400,02399715,Winfield village,47,A,7917886,100874,3.057,0.039,41.877442,-88.151096
IL,1782491,02399716,Winnebago village,47,A,5016593,0,1.937,0.000,42.267118,-89.233743
IL,1782530,02399718,Winnetka village,47,A,9859811,207366,3.807,0.080,42.106210,-87.742764
IL,1782543,02399721,Winslow village,47,A,1169391,0,0.452,0.000,42.493181,-89.794590
IL,1782686,02399725,Winthrop Harbor village,47,A,12282945,218537,4.742,0.084,42.480614,-87.829557
IL,1782725,02397356,Witt city,25,A,3626503,0,1.400,0.000,39.254518,-89.349189
IL,1782855,02399729,Wonder Lake village,47,A,12383140,3003477,4.781,1.160,42.374614,-88.350618
IL,1782985,02397360,Wood Dale city,25,A,12243024,294629,4.727,0.114,41.966306,-87.980851
IL,1783063,02399731,Woodhull village,47,A,2136083,0,0.825,0.000,41.178574,-90.322045
IL,1783102,02399732,Woodland village,47,A,1182039,0,0.456,0.000,40.714170,-87.730536
IL,1783206,02399734,Woodlawn village,47,A,2211913,0,0.854,0.000,38.327855,-89.034648
IL,1783245,02399735,Woodridge village,47,A,24944300,416844,9.631,0.161,41.737392,-88.044130
IL,1783271,02397363,Wood River city,25,A,18083411,450924,6.982,0.174,38.863270,-90.077644
IL,1783336,02399737,Woodson village,47,A,1012630,0,0.391,0.000,39.627465,-90.225407
IL,1783349,02397372,Woodstock city,25,A,35038054,0,13.528,0.000,42.310263,-88.435668
IL,1783505,02399741,Worden village,47,A,1829179,31672,0.706,0.012,38.931113,-89.840233
IL,1783518,02399742,Worth village,47,A,6134930,33038,2.369,0.013,41.688211,-87.792577
IL,1783622,02399746,Wyanet village,47,A,2585300,0,0.998,0.000,41.360599,-89.583066
IL,1783687,02397387,Wyoming city,25,A,2178617,0,0.841,0.000,41.063683,-89.772935
IL,1783739,02399748,Xenia village,47,A,1369092,0,0.529,0.000,38.637133,-88.637443
IL,1783765,02399749,Yale village,47,A,1489670,0,0.575,0.000,39.120294,-88.024559
IL,1783817,02399751,Yates City village,47,A,1274923,0,0.492,0.000,40.777643,-90.013895
IL,1784038,02397394,Yorkville city,25,A,52799376,227858,20.386,0.088,41.661736,-88.428596
IL,1784155,02397398,Zeigler city,25,A,3518783,17901,1.359,0.007,37.905700,-89.053271
IL,1784220,02397402,Zion city,25,A,25480922,6555,9.838,0.003,42.459909,-87.851121
IN,1800140,02629862,Aberdeen CDP,57,S,3256694,0,1.257,0.000,41.441794,-87.116618
IN,1800640,02397419,Advance town,43,A,1611878,0,0.622,0.000,39.995422,-86.620365
IN,1800748,02397420,Akron town,43,A,1183819,0,0.457,0.000,41.038839,-86.024902
IN,1800784,02397421,Alamo town,43,A,174284,0,0.067,0.000,39.983498,-87.055375
IN,1800802,02397422,Albany town,43,A,4538439,17722,1.752,0.007,40.305954,-85.232191
IN,1800820,02397423,Albion town,43,A,4941858,0,1.908,0.000,41.396592,-85.418694
IN,1800910,02393917,Alexandria city,25,A,6804656,0,2.627,0.000,40.258378,-85.676130
IN,1800964,02397424,Alfordsville town,43,A,174996,1618,0.068,0.001,38.560270,-86.948600
IN,1801270,02397425,Alton town,43,A,445421,46277,0.172,0.018,38.120100,-86.418595
IN,1801288,02397426,Altona town,43,A,526001,0,0.203,0.000,41.352155,-85.152530
IN,1801342,02397427,Ambia town,43,A,383284,0,0.148,0.000,40.489341,-87.516230
IN,1801360,02397428,Amboy town,43,A,907347,213,0.350,0.000,40.602751,-85.927363
IN,1801396,02583445,Americus CDP,57,S,3275489,74341,1.265,0.029,40.524482,-86.744622
IN,1801450,02397430,Amo town,43,A,1638741,0,0.633,0.000,39.688840,-86.612486
IN,1801468,02393952,Anderson city,25,A,110490774,281325,42.661,0.109,40.089233,-85.695119
IN,1801612,02397431,Andrews town,43,A,1640916,17666,0.634,0.007,40.859914,-85.602124
IN,1801666,02393958,Angola city,25,A,16815204,122940,6.492,0.047,41.643599,-85.006447
IN,1801954,02397435,Arcadia town,43,A,1444403,0,0.558,0.000,40.174253,-86.021079
IN,1802044,02397436,Argos town,43,A,3329701,25952,1.286,0.010,41.237623,-86.253155
IN,1802116,02629872,Arlington CDP,57,S,3794918,47707,1.465,0.018,39.650315,-85.584801
IN,1802458,02397441,Ashley town,43,A,4553108,0,1.758,0.000,41.520788,-85.062511
IN,1802602,02397443,Atlanta town,43,A,780985,0,0.302,0.000,40.213480,-86.026552
IN,1802620,02394018,Attica city,25,A,4183836,0,1.615,0.000,40.287618,-87.244872
IN,1802674,02394022,Auburn city,25,A,19813944,0,7.650,0.000,41.366620,-85.055971
IN,1802782,02394030,Aurora city,25,A,7149664,847631,2.761,0.327,39.065285,-84.902671
IN,1802800,02397445,Austin city,25,A,6778295,0,2.617,0.000,38.741694,-85.811817
IN,1802872,02397446,Avilla town,43,A,3970117,0,1.533,0.000,41.363841,-85.234180
IN,1802890,02629855,Avoca CDP,57,S,5426588,0,2.095,0.000,38.917196,-86.555642
IN,1802908,02396582,Avon town,43,A,46712178,372705,18.036,0.144,39.760713,-86.394145
IN,1803142,02396584,Bainbridge town,43,A,1037447,0,0.401,0.000,39.761400,-86.811260
IN,1803394,02396585,Bargersville town,43,A,48458886,0,18.710,0.000,39.541226,-86.200378
IN,1803610,02393329,Bass Lake CDP,57,S,23539012,5675301,9.088,2.191,41.221830,-86.594083
IN,1803664,02394080,Batesville city,25,A,15906825,170464,6.142,0.066,39.297704,-85.213458
IN,1803718,02396586,Battle Ground town,43,A,2641550,0,1.020,0.000,40.507515,-86.852674
IN,1804114,02394104,Bedford city,25,A,31495309,0,12.160,0.000,38.860242,-86.489517
IN,1804204,02394106,Beech Grove city,25,A,11382105,0,4.395,0.000,39.715335,-86.086964
IN,1804888,02394149,Berne city,25,A,5381201,898,2.078,0.000,40.657271,-84.955505
IN,1804978,02396589,Bethany town,43,A,216695,28708,0.084,0.011,39.533785,-86.378871
IN,1805158,02396590,Beverly Shores town,43,A,9280366,5814316,3.583,2.245,41.691148,-86.978774
IN,1805176,02394162,Bicknell city,25,A,3495351,0,1.350,0.000,38.774322,-87.307822
IN,1805374,02396591,Birdseye town,43,A,1650815,584,0.637,0.000,38.312767,-86.698626
IN,1805662,02629869,Blanford CDP,57,S,1901365,0,0.734,0.000,39.667000,-87.520268
IN,1805716,02396592,Bloomfield town,43,A,3566423,0,1.377,0.000,39.026261,-86.937289
IN,1805788,02396593,Bloomingdale town,43,A,1506267,0,0.582,0.000,39.830562,-87.250166
IN,1805860,02394196,Bloomington city,25,A,60221613,475857,23.252,0.184,39.163700,-86.524264
IN,1805896,02396594,Blountsville town,43,A,290756,3484,0.112,0.001,40.060255,-85.239836
IN,1806220,02394209,Bluffton city,25,A,21301002,333309,8.224,0.129,40.743479,-85.172111
IN,1806616,02394221,Boonville city,25,A,7773086,34048,3.001,0.013,38.045154,-87.273811
IN,1806634,02396596,Borden town,43,A,3604507,1177,1.392,0.000,38.471980,-85.948165
IN,1806652,02396597,Boston town,43,A,577694,0,0.223,0.000,39.741178,-84.851721
IN,1806706,02396598,Boswell town,43,A,2399841,0,0.927,0.000,40.516350,-87.374382
IN,1806760,02396599,Bourbon town,43,A,2569150,9448,0.992,0.004,41.297650,-86.117954
IN,1807174,02393404,Brazil city,25,A,9480678,90690,3.661,0.035,39.523301,-87.124569
IN,1807318,02396601,Bremen town,43,A,7032941,11642,2.715,0.004,41.447822,-86.150645
IN,1807624,02393348,Bright CDP,57,S,32472245,47350,12.538,0.018,39.224924,-84.862326
IN,1807750,02396602,Bristol town,43,A,10412978,336555,4.020,0.130,41.718574,-85.824653
IN,1807966,02396604,Brook town,43,A,1754366,24110,0.677,0.009,40.866097,-87.365722
IN,1808038,02396605,Brooklyn town,43,A,1733555,32627,0.669,0.013,39.543266,-86.367240
IN,1808092,02396607,Brooksburg town,43,A,263163,23043,0.102,0.009,38.735859,-85.245327
IN,1808146,02396608,Brookston town,43,A,1698231,0,0.656,0.000,40.600952,-86.866293
IN,1808182,02396609,Brookville town,43,A,3880896,112059,1.498,0.043,39.423313,-85.011611
IN,1808416,02396611,Brownsburg town,43,A,40654018,220719,15.697,0.085,39.832723,-86.380621
IN,1808470,02396612,Brownstown town,43,A,4136643,16371,1.597,0.006,38.878859,-86.046346
IN,1808578,02396613,Bruceville town,43,A,888034,0,0.343,0.000,38.758020,-87.415400
IN,1808704,02396615,Bryant town,43,A,787482,0,0.304,0.000,40.535794,-84.963261
IN,1808812,02583446,Buck Creek CDP,57,S,300514,0,0.116,0.000,40.487450,-86.762190
IN,1808992,02393355,Buffalo CDP,57,S,6142782,427308,2.372,0.165,40.889394,-86.736090
IN,1809136,02396616,Bunker Hill town,43,A,1085723,773,0.419,0.000,40.659216,-86.101697
IN,1809226,02396618,Burket town,43,A,184737,0,0.071,0.000,41.154897,-85.968731
IN,1809244,02396619,Burlington town,43,A,1543430,0,0.596,0.000,40.480810,-86.394310
IN,1809316,02396620,Burnettsville town,43,A,1937723,0,0.748,0.000,40.761140,-86.594673
IN,1809352,02583447,Burns City CDP,57,S,1902823,13601,0.735,0.005,38.817097,-86.893740
IN,1809370,02396621,Burns Harbor town,43,A,17260963,308194,6.664,0.119,41.620256,-87.124074
IN,1809532,02393482,Butler city,25,A,5118242,0,1.976,0.000,41.427445,-84.872130
IN,1809622,02587013,Butlerville CDP,57,S,980298,0,0.378,0.000,39.032542,-85.513170
IN,1809712,02396622,Cadiz town,43,A,373971,0,0.144,0.000,39.950923,-85.486891
IN,1809874,02396623,Cambridge City town,43,A,2613751,18414,1.009,0.007,39.812084,-85.170820
IN,1809910,02396624,Camden town,43,A,676287,2276,0.261,0.001,40.610178,-86.537929
IN,1810000,02396625,Campbellsburg town,43,A,2568971,5103,0.992,0.002,38.652321,-86.264641
IN,1810036,02587014,Canaan CDP,57,S,800387,2074,0.309,0.001,38.865377,-85.300835
IN,1810090,02396626,Cannelburg town,43,A,506977,0,0.196,0.000,38.667869,-86.997380
IN,1810108,02393730,Cannelton city,25,A,3837727,262993,1.482,0.102,37.911543,-86.738709
IN,1810198,02396627,Carbon town,43,A,412372,0,0.159,0.000,39.599079,-87.107879
IN,1810270,02396628,Carlisle town,43,A,1342287,0,0.518,0.000,38.960778,-87.401424
IN,1810342,02393750,Carmel city,25,A,122922264,2798978,47.461,1.081,39.965479,-86.148369
IN,1810612,02396629,Carthage town,43,A,1506419,0,0.582,0.000,39.736718,-85.571422
IN,1810954,02396632,Cayuga town,43,A,2624837,0,1.013,0.000,39.947334,-87.464571
IN,1811044,02396633,Cedar Grove town,43,A,388393,950,0.150,0.000,39.355966,-84.937083
IN,1811062,02396634,Cedar Lake town,43,A,21836720,3593085,8.431,1.387,41.367090,-87.438334
IN,1811746,02396635,Center Point town,43,A,1917126,57801,0.740,0.022,39.415766,-87.075574
IN,1811836,02396637,Centerville town,43,A,7679774,59259,2.965,0.023,39.826194,-84.987068
IN,1811944,02396638,Chalmers town,43,A,643905,0,0.249,0.000,40.662587,-86.867579
IN,1812034,02396639,Chandler town,43,A,7026823,0,2.713,0.000,38.036769,-87.374739
IN,1812124,02393805,Charlestown city,25,A,29646490,101769,11.447,0.039,38.429840,-85.670366
IN,1812376,02396641,Chesterfield town,43,A,3570404,0,1.379,0.000,40.113030,-85.594169
IN,1812412,02396642,Chesterton town,43,A,24195605,291377,9.342,0.113,41.599822,-87.054996
IN,1812574,02396644,Chrisney town,43,A,1827795,74253,0.706,0.029,38.010613,-87.030996
IN,1812610,02396645,Churubusco town,43,A,2847377,0,1.099,0.000,41.230754,-85.320097
IN,1812628,02396646,Cicero town,43,A,4423692,1068175,1.708,0.412,40.121932,-86.034042
IN,1812880,02587015,Clarksburg CDP,57,S,1240726,0,0.479,0.000,39.435284,-85.347205
IN,1812898,02396648,Clarks Hill town,43,A,705650,0,0.272,0.000,40.247206,-86.724412
IN,1812934,02396649,Clarksville town,43,A,26014721,515816,10.044,0.199,38.322163,-85.767436
IN,1813276,02396650,Clay City town,43,A,1399228,0,0.540,0.000,39.276938,-87.112662
IN,1813312,02396651,Claypool town,43,A,632258,20669,0.244,0.008,41.130758,-85.882272
IN,1813366,02396652,Clayton town,43,A,1975118,0,0.763,0.000,39.688321,-86.523134
IN,1813438,02396653,Clear Lake town,43,A,2693651,3460995,1.040,1.336,41.738949,-84.834443
IN,1813492,02396654,Clermont town,43,A,1739353,0,0.672,0.000,39.816549,-86.320646
IN,1813582,02396655,Clifford town,43,A,228983,0,0.088,0.000,39.282638,-85.869051
IN,1813780,02393567,Clinton city,25,A,5796224,48288,2.238,0.019,39.660965,-87.404659
IN,1813852,02396656,Cloverdale town,43,A,8959880,165983,3.459,0.064,39.521221,-86.798689
IN,1814032,02629878,Coalmont CDP,57,S,3887641,8309,1.501,0.003,39.189627,-87.219583
IN,1814050,02396657,Coatesville town,43,A,1692259,32241,0.653,0.012,39.688431,-86.669384
IN,1814176,02583448,Colburn CDP,57,S,247612,0,0.096,0.000,40.518827,-86.712282
IN,1814284,02396658,Colfax town,43,A,941100,0,0.363,0.000,40.194287,-86.667183
IN,1814464,02393381,Collegeville CDP,57,S,2933066,0,1.132,0.000,40.905904,-87.161197
IN,1814716,02393606,Columbia City city,25,A,14111186,62318,5.448,0.024,41.163053,-85.478754
IN,1814734,02393609,Columbus city,25,A,71528451,1011816,27.617,0.391,39.208940,-85.918096
IN,1814932,02393620,Connersville city,25,A,20058579,39176,7.745,0.015,39.658023,-85.141747
IN,1814986,02396660,Converse town,43,A,2324354,7671,0.897,0.003,40.578863,-85.873893
IN,1815115,02629877,Cordry Sweetwater Lakes CDP,57,S,7121212,1655991,2.750,0.639,39.306930,-86.123805
IN,1815220,02396663,Corunna town,43,A,462470,0,0.179,0.000,41.435860,-85.144151
IN,1815256,02396664,Corydon town,43,A,4274294,0,1.650,0.000,38.213137,-86.125820
IN,1815364,02396665,Country Club Heights town,43,A,733645,0,0.283,0.000,40.124246,-85.687743
